"title,console"
"MLB 2002","psx"
"MLB '98","psx"
"Cool Boarders 4","psx"
"Armored Core - Project Phantasma","psx"
"Secret of Googol, The 8 - Googol Gulch - General Store - Math Arcade","psx"
"MDK","psx"
"Dragonball GT - Final Bout","psx"
"Army Men 3D","psx"
"Disney's Lilo & Stitch","psx"
"Test Drive - Off-Road 2","psx"
"G-Police 2 - Weapons of Justice","psx"
"Fear Effect","psx"
"Grand Theft Auto","psx"
"Tom Clancy's Rainbow Six","psx"
"NHL Powerplay '98","psx"
"World Destruction League - War Jetz","psx"
"Need for Speed - High Stakes","psx"
"Yu-Gi-Oh! - Forbidden Memories","psx"
"Apocalypse","psx"
"Driver 2","psx"
"Cleopatra's Fortune","psx"
"Zoboomafoo - Leapin' Lemurs!","psx"
"Secret of Googol, The 4 - The Googol Counting Fair - Corral - Fun House","psx"
"Virtual Pool","psx"
"Lego Rock Raiders","psx"
"March Madness '98","psx"
"Disney's Aladdin in Nasira's Revenge","psx"
"Vandal Hearts II","psx"
"Gex 3 - Deep Cover Gecko","psx"
"Army Men - Air Attack","psx"
"Sled Storm","psx"
"Disney's Tarzan","psx"
"City of Lost Children, The","psx"
"Dirt Jockey - Heavy Equipment Operator","psx"
"Army Men - World War - Land, Sea & Air","psx"
"Monster Rancher","psx"
"Psychic Detective","psx"
"Black Bass with Blue Marlin","psx"
"Power Rangers - Lightspeed Rescue","psx"
"Wheel of Fortune - 2nd Edition","psx"
"Disney's Atlantis - The Lost Empire","psx"
"Sesame Street - Elmo's Letter Adventure","psx"
"Expendable","psx"
"Fifth Element, The","psx"
"Wreckin Crew - Drive Dangerously","psx"
"NCAA Gamebreaker '98","psx"
"Championship Bass","psx"
"Three Stooges, The","psx"
"Bomberman Fantasy Race","psx"
"Puzznic","psx"
"Squaresoft on PlayStation 1998 Collector's CD Vol. 1","psx"
"Reel Fishing","psx"
"Croc 2","psx"
"Fox Sports NBA Basketball 2000","psx"
"Namco Museum Vol.2","psx"
"Cosmic Cookoff - Language Arts","psx"
"Point Blank","psx"
"Wayne Gretzky's 3D Hockey '98","psx"
"Ironman & X-O Manowar in Heavy Metal","psx"
"Fox Hunt","psx"
"NCAA Gamebreaker 2001","psx"
"Motor Toon Grand Prix","psx"
"Sentient","psx"
"Spec Ops - Stealth Patrol","psx"
"Cart World Series","psx"
"Mega Man X6","psx"
"FOX Sports Golf '99","psx"
"MLB Pennant Race","psx"
"Descent","psx"
"Ready 2 Rumble Boxing - Round 2","psx"
"Mars Moose Cosmic Quest 2 - Fairy Tale Island","psx"
"Jet Moto 3","psx"
"Big Bass Fishing","psx"
"Equestrian Showcase","psx"
"Tomb Raider Chronicles","psx"
"ATV - Quad Power Racing","psx"
"Powerboat Racing","psx"
"NASCAR Thunder 2002","psx"
"Warhawk - The Red Mercury Missions","psx"
"Tyco RC - Assault with a Battery","psx"
"NBA ShootOut 2000","psx"
"E.T. - The Extra-Terrestrial - Interplanetary Mission","psx"
"Tenchu - Stealth Assassins","psx"
"FIFA Soccer 2004","psx"
"Army Men - World War - Final Front","psx"
"X-Com - UFO Defense","psx"
"Disney's The Lion King II - Simba's Mighty Adventure","psx"
"Castlevania Chronicles","psx"
"Fisherman's Bait 2 - Big Ol' Bass","psx"
"Bottom of the Ninth","psx"
"Rageball","psx"
"Killing Zone","psx"
"Dragon Warrior VII","psx"
"Liquid Books Adventure 5 - Pop-out Prose","psx"
"Silhouette Mirage","psx"
"Miracle Space Race","psx"
"Ridge Racer - Turbo Mode","psx"
"Road Writer","psx"
"No Fear Downhill Mountain Bike Racing","psx"
"Disney-Pixar's A Bug's Life","psx"
"DragonBall Z - Ultimate Battle 22","psx"
"Kazmania 1 - Trail of Gems","psx"
"Builder's Block","psx"
"Lunar 2 - Eternal Blue Complete","psx"
"Tomb Raider - The Last Revelation","psx"
"Space Shot","psx"
"Madden NFL 98","psx"
"Mass Destruction","psx"
"Need for Speed - V-Rally","psx"
"Colin McRae Rally","psx"
"Street Fighter Alpha 3","psx"
"World Destruction League - Thunder Tanks","psx"
"Dracula - The Last Sanctuary","psx"
"Brave Fencer Musashi","psx"
"Virtual Pool 3","psx"
"Bogey - Dead 6","psx"
"Space Invaders","psx"
"NASCAR '98 - Collector's Edition","psx"
"Spyro the Dragon","psx"
"Qix Neo","psx"
"Misadventures of Tron Bonne, The","psx"
"Resident Evil - Director's Cut","psx"
"Ninja - Shadow of Darkness","psx"
"P.K.'s Place 1 - Party on the Patio!","psx"
"Donald Duck - Goin' Quackers","psx"
"ECW Hardcore Revolution","psx"
"Warzone 2100","psx"
"Cyberia","psx"
"3Xtreme","psx"
"Sea Doo Hydrocross","psx"
"N2O Nitrous Oxide","psx"
"Timeless Math 2 - Maya, Observatory","psx"
"Battle Arena Toshinden 3","psx"
"Disney's Treasure Planet","psx"
"Iron Soldier 3","psx"
"NBA Live 97","psx"
"Saltwater Sportfishing","psx"
"C-12 - Final Resistance","psx"
"Unholy War, The","psx"
"NCAA Gamebreaker 2000","psx"
"Power Move Pro Wrestling","psx"
"NBA ShootOut 98","psx"
"Men in Black - The Series - Crashdown","psx"
"Army Men - Sarge's Heroes","psx"
"Tales of Destiny","psx"
"Chronicles of the Sword","psx"
"Sesame Street - Elmo's Number Journey","psx"
"Harry Potter and the Sorcerer's Stone","psx"
"Street Fighter EX2 Plus","psx"
"Lethal Enforcers I & II","psx"
"NHL Faceoff 2000","psx"
"Gran Turismo","psx"
"Total Eclipse - Turbo","psx"
"Army Men - Air Attack 2","psx"
"Muppet Race Mania","psx"
"Granstream Saga, The","psx"
"NBA Jam T.E.","psx"
"Street Fighter Alpha 2","psx"
"Descent Maximum","psx"
"Magic the Gathering - Battlemage","psx"
"Freestyle Motocross - McGrath vs. Pastrana","psx"
"Madden NFL 99","psx"
"Super Shot Soccer","psx"
"2002 FIFA World Cup","psx"
"Die Hard Trilogy 2 - Viva Las Vegas","psx"
"Worms Armageddon","psx"
"Final Fantasy Origins","psx"
"Mars Moose Stay and Play 3 - In Lonnie's Classroom","psx"
"Mobile Armor","psx"
"Spec Ops - Ranger Elite","psx"
"Animaniacs - Ten Pin Alley 2","psx"
"CyberTiger","psx"
"NASCAR 2001","psx"
"Bust-a-Groove 2","psx"
"Barbie - Explorer","psx"
"Sim Theme Park","psx"
"Kensei - Sacred Fist","psx"
"Reloaded - The Hardcore Sequel","psx"
"Tokyo Highway Battle","psx"
"Danger Girl","psx"
"Mega Man Legends","psx"
"Str.at.e.s. 1 - Match-A-Batch","psx"
"Madden NFL 2001","psx"
"In the Hunt","psx"
"Rival Schools - United by Fate","psx"
"Str.at.e.s. 5 - Paralell Lives!","psx"
"MTV Sports - Skateboarding featuring Andy MacDonald","psx"
"Vigilante 8","psx"
"XS Junior League Dodgeball","psx"
"Roll Away","psx"
"Barbie - Detective - The Mystery Cruise","psx"
"Interactive CD Sampler Demo Pack Vol. 09","psx"
"Crusader - No Remorse","psx"
"Street Fighter Collection","psx"
"Bottom of the Ninth '97","psx"
"Street Fighter - The Movie","psx"
"Silent Bomber","psx"
"Olympic Summer Games","psx"
"NBA Showtime - NBA on NBC","psx"
"Theme Park","psx"
"ATV Mania","psx"
"Tactics Ogre","psx"
"RC de Go!","psx"
"Rosco McQueen Firefighter Extreme","psx"
"Panzer Front","psx"
"Street Racer","psx"
"Hardball 5","psx"
"Kickboxing","psx"
"Panzer General","psx"
"Adidas Power Soccer","psx"
"Vanguard Bandits","psx"
"Deception III - Dark Delusion","psx"
"MLB 2003","psx"
"Rat Attack!","psx"
"IHRA Drag Racing","psx"
"Jersey Devil","psx"
"MLB 2004","psx"
"World's Scariest Police Chases","psx"
"NHL 97","psx"
"Top Gun - Fire at Will","psx"
"Superbikes 2000","psx"
"Tony Hawk's Pro Skater 4","psx"
"Gunfighter - The Legend of Jesse James","psx"
"All Star Racing","psx"
"Gunship","psx"
"Dragonheart - Fire & Steel","psx"
"Star Fighter","psx"
"Secret of Googol, The 7 - Eggs All Around - Egg Trek - Balloon Picnic","psx"
"NBA in the Zone 2","psx"
"Test Drive Off-Road","psx"
"Warhammer - Shadow of the Horned Rat","psx"
"Metal Slug X - Super Vehicle-001","psx"
"Ghost in the Shell","psx"
"Persona 2 - Eternal Punishment","psx"
"Razor Freestyle Scooter","psx"
"Deathtrap Dungeon","psx"
"Defcon 5 - Peace Has a Price","psx"
"Persona","psx"
"McGrath vs. Pastrana - Freestyle Motocross","psx"
"King of Fighters, The '99","psx"
"Jigsaw Madness","psx"
"Mort the Chicken","psx"
"Mars Moose Adventure - Walkabout 2 - The Shakespeare Festival","psx"
"South Park","psx"
"MLB 2000","psx"
"Star Wars - Demolition","psx"
"Disney's Buzz Lightyear of Star Command","psx"
"FIFA Soccer 2003","psx"
"Speed Racer","psx"
"Brigandine - The Legend of Forsena","psx"
"Colony Wars","psx"
"PO'ed","psx"
"K9.5 3 - Webtunes","psx"
"Disney's Mulan - Story Studio","psx"
"MediEvil","psx"
"Largo Winch - Commando Sar","psx"
"NBA ShootOut 2004","psx"
"Goal Storm '97","psx"
"Triple Play 2001","psx"
"Darkstalkers 3","psx"
"Disney's Dinosaur","psx"
"Miss Spider's Tea Party","psx"
"Beyblade","psx"
"Ape Escape","psx"
"Flintstones Bedrock Bowling","psx"
"N-Gen Racing","psx"
"Machine Head","psx"
"Tomba! 2 - The Evil Swine Returns","psx"
"Syphon Filter","psx"
"ATV Racers","psx"
"Freestyle Boardin' '99","psx"
"BoomBots","psx"
"VR Baseball '99","psx"
"Secret of Googol, The 1b - Reshaping Googol - The Tower","psx"
"Final Fantasy Anthology - Final Fantasy V","psx"
"Command & Conquer","psx"
"WipEout","psx"
"KISS Pinball","psx"
"NBA Jam - Extreme","psx"
"Cali's Geo Tools","psx"
"Metal Gear Solid - VR Missions","psx"
"MediEvil II","psx"
"Xena - Warrior Princess","psx"
"Tekken 3","psx"
"Contender 2","psx"
"Galerians","psx"
"Roswell Conspiracies - Aliens, Myths & Legends","psx"
"WWF SmackDown! 2 - Know Your Role","psx"
"NBA Hangtime","psx"
"Wing Commander III - Heart of the Tiger","psx"
"Chicken Run","psx"
"Glover","psx"
"Card Games","psx"
"Destrega","psx"
"Inspector Gadget - Gadget's Crazy Maze","psx"
"Ray Tracers","psx"
"Family Card Game Fun Pak","psx"
"CyberSled","psx"
"World Cup Golf - Professional Edition","psx"
"Blasto","psx"
"Rascal Racers","psx"
"Jimmy Johnson's VR Football '98","psx"
"Vandal Hearts","psx"
"NFL GameDay 2005","psx"
"All-Star Slammin' D-Ball","psx"
"MTV Celebrity Deathmatch","psx"
"Hardball '99","psx"
"Fighter Maker","psx"
"NHL Blades of Steel 2000","psx"
"Mortal Kombat Mythologies - Sub-Zero","psx"
"Mary-Kate & Ashley - Winners Circle","psx"
"Skeleton Warriors","psx"
"M & M's Shell Shocked","psx"
"Porsche Challenge","psx"
"Weakest Link","psx"
"Cabela's Ultimate Deer Hunt","psx"
"Arc the Lad Collection - Arc the Lad","psx"
"NFL Blitz","psx"
"Amazing Virtual Sea Monkeys","psx"
